location	strings	target	target-marathi-final
@default#1	<html><body><h2>Algorithm description</h2>	<html><body><h2>एल्‍गोरिदम विवरण</h2>	
@default#2	OTB execution console output	OTB निष्पादन कंसोल निर्गम	
@default#3	Executing iteration {0}/{1}...	पुनरावृत्ति निष्पादित हो रही है {0}/{1}...	
@default#4	All files (*.*)	सभी फाइलें (*.*)	
@default#5	{0} files (*.{1})		
@default#6	All files (*.*)	सभी फाइलें (*.*)	
@default#7	{0} files (*.{1})		
@default#8	{0} files (*.{1})		
@default#9	<h2>Input parameters</h2>	<h2>आगत मापदंड</h2>	
@default#10	<h2>Outputs</h2>	<h2>निर्गम</h2>	
@default#11	<p align="right">Algorithm author: {0}</p>		
@default#12	<p align="right">Help author: {0}</p>		
@default#13	<p align="right">Algorithm version: {0}</p>		
@default#14	Error	गलती	
@default#15	Seems some outputs are temporary files. To create test you need to redirect all algorithm outputs to files		
@default#16	<p align="right">Algorithm author: %s</p>	<p align="right">एल्‍गोरिदम ऑथर: %s</p>	
@default#17	<p align="right">Help author: %s</p>	<p align="right">सहायता ऑथर: %s</p>	
@default#18	<p align="right">Algorithm version: %s</p>	<p align="right">एल्‍गोरिदम संस्‍करण: %s</p>	
@default#19	Executing iteration %s/%s...	%s/%s पुनरावृत्ति निष्‍पादित हो रही...	
APIsDialogPythonConsole#1	Generating prepared API file (please wait)...	तैयार एपीआई फाइल बना रहा है (कृपया प्रतीक्षा करें)...	
ASCII2DTM#1	ASCII to DTM	ASCII से DTM	
ASCII2DTM#2	Conversion	परिवर्तन	
ASCII2DTM#3	Input ESRI ASCII layer	आगत ESRI ASCII लेयर	
ASCII2DTM#4	XY Units	XY इकाइयाँ	
ASCII2DTM#5	Z Units	Z इकाइयॉ	
ASCII2DTM#6	Coordinate system	निर्देशांक प्रणाली	
ASCII2DTM#7	Coordinate system zone ('0' for unknown)	निर्देशांक प्रणाली जोन ('0' अज्ञात के लिए)	
ASCII2DTM#8	Output surface	निर्गम सतह	
AddModelFromFileAction#1	Open model	मॉडल खोलें	
AddModelFromFileAction#2	Processing model files (*.model *.MODEL)	मॉडल फाइलों (*.model *.MODEL) की प्रोसेसिंग जारी	
AddModelFromFileAction#3	Error reading model	माॅडल पढ़ते की गलती	
AddModelFromFileAction#4	The selected file does not contain a valid model	चयनित फाइल वैध माॅडल नहीं रखती	
AddModelFromFileAction#5	Cannot read file	फाइल नहीं पढ़ सकते	
AddModelFromFileAction#6	Open model	मॉडल खोलें	
AddModelFromFileAction#7	Processing model files (*.model3 *.MODEL3)		
AddModelFromFileAction#8	Error reading model	माॅडल पढ़ते की गलती	
AddModelFromFileAction#9	The selected file does not contain a valid model	चयनित फाइल वैध माॅडल नहीं रखती	
AddScriptFromFileAction#1	Script files	स्क्रिप्‍ट फाइलें	
AddScriptFromFileAction#2	Script files (*.py *.PY)	स्क्रिप्‍ट फाइलें (*.py *.PY)	
AddScriptFromFileAction#3	Error reading script	स्क्रिप्‍ट पढ़ते की गलती	
AddScriptFromFileAction#4	The selected file does not contain a valid script	चयनित फाइल वैध स्क्रिप्‍ट नहीं रखती	
AddScriptFromFileAction#5	Script files	स्क्रिप्‍ट फाइलें	
AddScriptFromFileAction#6	Script files (*.py *.PY)	स्क्रिप्‍ट फाइलें (*.py *.PY)	
AddScriptFromFileAction#7	Error reading scripts		
AddScriptFromFileAction#8	The following files do not contain a valid script: -		
AddTableField#1	Vector table tools	वेक्टर टेबल साधन	
AddTableField#2	Integer	पूर्णांक	
AddTableField#3	Float	फ़्लोट	
AddTableField#4	String	स्ट्रिंग	
AddTableField#5	Input layer	आगत लेयर	
AddTableField#6	Vector table		
AddTableField#7	Field name	स्‍तंभ का नाम	
AddTableField#8	Field type	स्‍तंभ का प्रकार	
AddTableField#9	Field length	स्‍तंभ की लंबाई	
AddTableField#10	Field precision	स्‍तंभ शुद्धता	
AddTableField#11	Added	जोड़ा गया	
AddTableField#12	Add field to attributes table	गुणधर्म टेबल में स्तंभ जोड़ें	
